,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,6/16/2021,1182201,13,122,23134,0,1
2,6/15/2021,1182188,96,143,23134,0,1
3,6/14/2021,1182092,220,155,23134,1,1
4,6/13/2021,1181872,94,147,23133,1,1
5,6/12/2021,1181778,122,150,23132,0,1
6,6/11/2021,1181656,159,149,23132,2,1
7,6/10/2021,1181497,150,148,23130,0,1
8,6/9/2021,1181347,163,154,23130,1,1
9,6/8/2021,1181184,175,162,23129,0,2
10,6/7/2021,1181009,165,169,23129,0,2
11,6/6/2021,1180844,113,160,23129,1,2
12,6/5/2021,1180731,117,160,23128,1,2
13,6/4/2021,1180614,156,160,23127,3,2
14,6/3/2021,1180458,188,161,23124,3,2
15,6/2/2021,1180270,221,158,23121,4,3
16,6/1/2021,1180049,221,152,23117,0,2
17,5/31/2021,1179828,101,145,23117,2,3
18,5/30/2021,1179727,117,156,23115,3,3
19,5/29/2021,1179610,114,155,23112,1,4
20,5/28/2021,1179496,164,154,23111,3,4
21,5/27/2021,1179332,167,153,23108,5,4
22,5/26/2021,1179165,178,157,23103,2,4
23,5/25/2021,1178987,175,156,23101,4,5
24,5/24/2021,1178812,180,154,23097,5,4
25,5/23/2021,1178632,107,160,23092,5,4
26,5/22/2021,1178525,110,162,23087,2,4
27,5/21/2021,1178415,152,165,23085,3,4
28,5/20/2021,1178263,194,171,23082,7,5
29,5/19/2021,1178069,171,170,23075,6,4
30,5/18/2021,1177898,163,178,23069,1,5
31,5/17/2021,1177735,222,193,23068,5,6
32,5/16/2021,1177513,122,197,23063,5,6
33,5/15/2021,1177391,132,201,23058,3,6
34,5/14/2021,1177259,190,205,23055,5,7
35,5/13/2021,1177069,187,212,23050,6,6
36,5/12/2021,1176882,231,222,23044,7,6
37,5/11/2021,1176651,266,229,23037,10,6
38,5/10/2021,1176385,252,229,23027,3,6
39,5/9/2021,1176133,148,242,23024,8,6
40,5/8/2021,1175985,162,245,23016,7,6
41,5/7/2021,1175823,238,251,23009,4,5
42,5/6/2021,1175585,259,255,23005,4,5
43,5/5/2021,1175326,280,260,23001,8,6
44,5/4/2021,1175046,267,268,22993,6,5
45,5/3/2021,1174779,338,276,22987,5,5
46,5/2/2021,1174441,168,274,22982,6,6
47,5/1/2021,1174273,204,282,22976,5,6
48,4/30/2021,1174069,268,291,22971,4,6
49,4/29/2021,1173801,295,298,22967,6,7
50,4/28/2021,1173506,336,305,22961,4,7
51,4/27/2021,1173170,320,306,22957,8,8
52,4/26/2021,1172850,330,314,22949,9,8
53,4/25/2021,1172520,220,332,22940,4,7
54,4/24/2021,1172300,268,339,22936,8,8
55,4/23/2021,1172032,318,347,22928,7,8
56,4/22/2021,1171714,341,359,22921,8,8
57,4/21/2021,1171373,348,370,22913,12,8
58,4/20/2021,1171025,375,388,22901,6,8
59,4/19/2021,1170650,454,406,22895,6,8
60,4/18/2021,1170196,271,417,22889,10,8
61,4/17/2021,1169925,320,417,22879,5,8
62,4/16/2021,1169605,406,425,22874,7,8
63,4/15/2021,1169199,418,440,22867,10,9
64,4/14/2021,1168781,470,442,22857,12,9
65,4/13/2021,1168311,506,450,22845,9,10
66,4/12/2021,1167805,526,456,22836,5,10
67,4/11/2021,1167279,272,461,22831,7,11
68,4/10/2021,1167007,374,465,22824,9,12
69,4/9/2021,1166633,513,458,22815,11,12
70,4/8/2021,1166120,435,454,22804,12,12
71,4/7/2021,1165685,525,458,22792,15,12
72,4/6/2021,1165160,545,453,22777,10,11
73,4/5/2021,1164615,561,448,22767,15,12
74,4/4/2021,1164054,301,449,22752,15,12
75,4/3/2021,1163753,324,452,22737,6,12
76,4/2/2021,1163429,490,451,22731,11,14
77,4/1/2021,1162939,463,440,22720,12,15
78,3/31/2021,1162476,486,438,22708,11,16
79,3/30/2021,1161990,508,439,22697,15,17
80,3/29/2021,1161482,572,435,22682,13,17
81,3/28/2021,1160910,318,428,22669,14,18
82,3/27/2021,1160592,320,423,22655,19,19
83,3/26/2021,1160272,412,423,22636,20,20
84,3/25/2021,1159860,449,426,22616,20,21
85,3/24/2021,1159411,495,427,22596,19,22
86,3/23/2021,1158916,479,429,22577,14,23
87,3/22/2021,1158437,522,440,22563,19,24
88,3/21/2021,1157915,287,446,22544,20,24
89,3/20/2021,1157628,320,455,22524,31,25
90,3/19/2021,1157308,432,465,22493,24,25
91,3/18/2021,1156876,452,480,22469,26,27
92,3/17/2021,1156424,510,493,22443,27,27
93,3/16/2021,1155914,558,506,22416,24,28
94,3/15/2021,1155356,565,514,22392,15,30
95,3/14/2021,1154791,349,536,22377,25,33
96,3/13/2021,1154442,388,549,22352,34,34
97,3/12/2021,1154054,535,564,22318,38,34
98,3/11/2021,1153519,548,575,22280,26,33
99,3/10/2021,1152971,599,589,22254,36,36
100,3/9/2021,1152372,611,596,22218,33,38
101,3/8/2021,1151761,721,603,22185,36,41
102,3/7/2021,1151040,444,613,22149,34,43
103,3/6/2021,1150596,487,620,22115,35,48
104,3/5/2021,1150109,614,637,22080,34,52
105,3/4/2021,1149495,645,657,22046,45,56
106,3/3/2021,1148850,647,674,22001,48,59
107,3/2/2021,1148203,665,705,21953,52,62
108,3/1/2021,1147538,789,737,21901,52,62
109,2/28/2021,1146749,493,770,21849,71,65
110,2/27/2021,1146256,604,780,21778,59,65
111,2/26/2021,1145652,754,802,21719,68,66
112,2/25/2021,1144898,767,832,21651,65,70
113,2/24/2021,1144131,866,874,21586,66,75
114,2/23/2021,1143265,888,927,21520,55,77
115,2/22/2021,1142377,1019,997,21465,68,84
116,2/21/2021,1141358,564,1042,21397,75,86
117,2/20/2021,1140794,755,1085,21322,66,89
118,2/19/2021,1140039,962,1150,21256,96,92
119,2/18/2021,1139077,1064,1242,21160,97,94
120,2/17/2021,1138013,1240,1343,21063,83,100
121,2/16/2021,1136773,1372,1444,20980,101,104
122,2/15/2021,1135401,1336,1547,20879,86,107
123,2/14/2021,1134065,865,1745,20793,93,115
124,2/13/2021,1133200,1214,1818,20700,86,118
125,2/12/2021,1131986,1603,1946,20614,109,121
126,2/11/2021,1130383,1770,2111,20505,140,128
127,2/10/2021,1128613,1946,2287,20365,116,127
128,2/9/2021,1126667,2095,2482,20249,119,133
129,2/8/2021,1124572,2722,2726,20130,139,136
130,2/7/2021,1121850,1374,2986,19991,115,142
131,2/6/2021,1120476,2112,3127,19876,110,147
132,2/5/2021,1118364,2758,3311,19766,158,156
133,2/4/2021,1115606,3003,3469,19608,134,157
134,2/3/2021,1112603,3313,3712,19474,154,164
135,2/2/2021,1109290,3797,3985,19320,143,164
136,2/1/2021,1105493,4545,4272,19177,177,167
137,1/31/2021,1100948,2362,4530,19000,156,175
138,1/30/2021,1098586,3396,4645,18844,169,175
139,1/29/2021,1095190,3870,4788,18675,167,178
140,1/28/2021,1091320,4699,5170,18508,182,184
141,1/27/2021,1086621,5228,5544,18326,152,187
142,1/26/2021,1081393,5803,6012,18174,167,199
143,1/25/2021,1075590,6355,6495,18007,229,205
144,1/24/2021,1069235,3163,6530,17778,156,205
145,1/23/2021,1066072,4397,6655,17622,193,217
146,1/22/2021,1061675,6545,7027,17429,211,224
