CountyName,TotalTested,ConfirmedCases,Deaths,ReportDate
Cook,0,107,1,2020-03-17T00:00:00
Cook,0,178,1,2020-03-18T00:00:00
Cook,0,278,2,2020-03-19T00:00:00
Cook,0,411,3,2020-03-20T00:00:00
Cook,0,548,4,2020-03-21T00:00:00
Cook,0,286,2,2020-03-22T00:00:00
Cook,0,412,7,2020-03-24T00:00:00
Cook,0,503,8,2020-03-25T00:00:00
Cook,0,743,9,2020-03-26T00:00:00
Cook,0,875,11,2020-03-27T00:00:00
Cook,0,1003,16,2020-03-28T00:00:00
Cook,0,1419,24,2020-03-29T00:00:00
Cook,0,1529,28,2020-03-30T00:00:00
Cook,0,1803,39,2020-03-31T00:00:00
Cook,0,2065,56,2020-04-01T00:00:00
Cook,0,2296,66,2020-04-02T00:00:00
Cook,0,2711,84,2020-04-03T00:00:00
Cook,0,3143,91,2020-04-04T00:00:00
Cook,0,3420,96,2020-04-05T00:00:00
Cook,0,3661,101,2020-04-06T00:00:00
Cook,0,4003,114,2020-04-07T00:00:00
Cook,0,4428,135,2020-04-08T00:00:00
Cook,0,4767,153,2020-04-09T00:00:00
Cook,0,5242,180,2020-04-10T00:00:00
Cook,0,5633,204,2020-04-11T00:00:00
Cook,0,5633,204,2020-04-11T00:00:00
Cook,0,6082,218,2020-04-12T00:00:00
Cook,0,6390,235,2020-04-13T00:00:00
Cook,0,6707,249,2020-04-14T00:00:00
Cook,0,7114,269,2020-04-15T00:00:00
Cook,0,7445,308,2020-04-16T00:00:00
Cook,0,7982,333,2020-04-17T00:00:00
Cook,0,8388,369,2020-04-18T00:00:00
Cook,0,8739,385,2020-04-19T00:00:00
Cook,0,9088,401,2020-04-20T00:00:00
Cook,0,9627,433,2020-04-21T00:00:00
Cook,0,10152,468,2020-04-22T00:00:00
Cook,0,10738,501,2020-04-23T00:00:00
Cook,0,11504,542,2020-04-24T00:00:00
Cook,0,11949,559,2020-04-25T00:00:00
Cook,0,12709,573,2020-04-26T00:00:00
Cook,0,13271,575,2020-04-27T00:00:00
Cook,0,13855,654,2020-04-28T00:00:00
Cook,0,14467,665,2020-04-29T00:00:00
Cook,0,15022,713,2020-04-30T00:00:00
Cook,0,15950,728,2020-05-01T00:00:00
Cook,0,16611,765,2020-05-02T00:00:00
Cook,0,17460,777,2020-05-03T00:00:00
